	PA3423
GSM1143377_A3_Pae_G1a_.CEL	0.7961
GSM1143378_B1_Pae_G1a_.CEL	0.9795
GSM1143379_B2_Pae_G1a_.CEL	0.3858
GSM1143380_B3_Pae_G1a_.CEL	0.62705
GSM1143381_WT1_Pae_G1a_.CEL	0.28313
GSM1143382_WT2_Pae_G1a_.CEL	0.86553
GSM1143383_WT3_Pae_G1a_.CEL	0.4086
GSM1146022_pJN105_1.CEL	0.88001
GSM1146023_pJN105_2.CEL	0.9394
GSM1146024_phaF_1.CEL	0.33897
GSM1146025_phaF_2.CEL	0.76904
GSM1177842_PAO1-1.CEL	0.56963
GSM1177843_PAO1-2.CEL	0.11158
GSM1177844_PAO1-3.CEL	0.80318
GSM1177845_PAO1-AMV-1.CEL	0.78053
GSM1177846_PAO1-AMV-2.CEL	0.98464
GSM1177847_PAO1-AMV-3.CEL	0.39334
GSM1181847_gc_WT1_1.CEL	0.71796
GSM1181848_gc_WT2_3.CEL	0.25722
GSM1181849_gc_Delta1_2.CEL	0.12968
GSM1181850_gc_Delta2_4.CEL	0.34488
GSM1191066_sphR-pyr-1.CEL	0.047105
GSM1191067_sphR-pyr-2.CEL	0.11547
GSM1191068_sphR-surf-1.CEL	0.31085
GSM1191069_sphR-surf-2.CEL	0.93966
GSM1191070_WT-pyr-1.CEL	0.42248
GSM1191071_WT-pyr-2.CEL	0.66313
GSM1191072_WT-surf-1.CEL	0.91423
GSM1191073_WT-surf-2.CEL	0.58731
GSM1206643_WT-PYR-1.CEL	0.91793
GSM1206644_WT-PYR-2.CEL	0.92594
GSM1206645_WT-CHO-1.CEL	0.9973
GSM1206646_WT-CHO-2.CEL	0.34685
GSM1206647_WT-DTC-1.CEL	0.17182
GSM1206648_WT-DTC-2.CEL	0.21463
GSM1206649_WT-ETC-1.CEL	0.30447
GSM1206650_WT-ETC-2.CEL	0.46969
GSM1206651_WT-PRC-1.CEL	0.33149
GSM1206652_WT-PRC-2.CEL	0.76496
GSM1206653_dgcA-CHO-1.CEL	0.70709
GSM1206654_dgcA-CHO-2.CEL	0.37325
GSM1237734_M9_H103_2_51059600653056031211409890238138.CEL	0.7345
GSM1237735_M9_H103_3_51059600653061050411410396750551.CEL	0.50781
GSM1237736_M9_H103_4_51059600653061050411410396750502.CEL	0.42891
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	0.044678
GSM1237738_M9_PAOSX_3_51059600653060050411410396750359.CEL	0.969
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	0.043267
GSM1244967_PAO1-22-replicate-01.CEL	0.6278
GSM1244968_PAO1-22-replicate-02.CEL	0.78436
GSM1244969_PAO1-22-replicate-03.CEL	0.74372
GSM1244970_PAO1-37-replicate-01.CEL	0.93949
GSM1244971_PAO1-37-replicate-02.CEL	0.8921
GSM1244972_PAO1-37-replicate-03.CEL	0.086304
GSM1246481_PA14bvlR_pME6032_rep1.CEL	0.39485
GSM1246482_PA14bvlR_pME6032_rep2.CEL	0.9658
GSM1246483_PA14bvlR_pME6032_rep3.CEL	0.23059
GSM1246484_PA14bvlR_pMEbvlR_rep1.CEL	0.25353
GSM1246485_PA14bvlR_pMEbvlR_rep2.CEL	0.51947
GSM1246486_PA14bvlR_pMEbvlR_rep3.CEL	0.93373
GSM1267086_HZI1981_G1a.CEL	0.71076
GSM1267087_HZI1950_Pae_G1a.CEL	0.73687
GSM1267088_HZI1951_Pae_G1a.CEL	0.32374
GSM1267089_HZI1952_Pae_G1a.CEL	0.63289
GSM1267090_HZI1953a_Pae_G1a.CEL	0.42612
GSM1267091_HZI1954_Pae_G1a.CEL	0.04835
GSM1267092_HZI1955_Pae_G1a.CEL	0.049997
GSM1267093_HZI1956_Pae_G1a.CEL	0.06691
GSM1267094_HZI1958_Pae_G1a.CEL	0.99172
GSM1267095_HZI1959_Pae_G1a.CEL	0.80793
GSM1267096_HZI1960a_Pae_G1a.CEL	0.52274
GSM1267097_HZI1961_Pae_G1a.CEL	0.28421
GSM1267098_HZI1962_Pae_G1a.CEL	0.50782
GSM1267099_HZI1963_Pae_G1a.CEL	0.7396
GSM1267100_HZI1966_Pae_G1a.CEL	0.9164
GSM1267101_HZI1967_Pae_G1a.CEL	0.047709
GSM1267102_HZI1968_Pae_G1a.CEL	0.57321
GSM1267103_HZI1969_Pae_G1a.CEL	0.077128
GSM1267104_HZI1970_Pae_G1a.CEL	0.78911
GSM1267105_HZI1971_Pae_G1a.CEL	0.047477
GSM1267106_HZI1972_Pae_G1a.CEL	0.1147
GSM1267107_HZI1973_Pae_G1a.CEL	0.71963
GSM1267108_HZI1974_G1a.CEL	0.34223
GSM1267109_HZI1975_G1a.CEL	0.32372
GSM1267110_HZI1976_G1a.CEL	0.058184
GSM1267111_HZI1977_G1a.CEL	0.77807
GSM1267112_HZI1978_G1a.CEL	0.79308
GSM1267113_HZI1979_G1a.CEL	0.12208
GSM1306125_Nomura_PAO1_NS-1_Pae_G1a_.CEL	0.51359
GSM1306126_Nomura_PAO1_NS-2_Pae_G1a_.CEL	0.84788
GSM1306127_Nomura_PAO1_NS-3_Pae_G1a_.CEL	0.38602
GSM1306128_Nomura_PAO1_KG-1_Pae_G1a_.CEL	0.68366
GSM1306129_Nomura_PAO1_KG-2_Pae_G1a_.CEL	0.94768
GSM1306130_Nomura_PAO1_KG-3_Pae_G1a_.CEL	0.79254
GSM1310895_PA14_wild-type.CEL	0.66782
GSM1310896_PA14_lasR_rhlR.CEL	0.17185
GSM1310897_PA14_wild-type_+H2O2.CEL	0.020139
GSM1310898_PA14_lasR_rhlR_+H2O2.CEL	0.78056
GSM1419138_PAO.CEL	0.99244
GSM1419139_PAO2.CEL	0.92876
GSM1419140_PAO3.CEL	0.5604
GSM1419141_BC.CEL	0.65616
GSM1419142_BC2.CEL	0.44107
GSM1419143_BC3.CEL	0.88005
GSM1419144_PAO_FOX.CEL	0.90936
GSM1419145_PAO2_FOX.CEL	0.31295
GSM1419146_PAO3_FOX.CEL	0.79402
GSM1419147_BC_FOX.CEL	0.56963
GSM1419148_BC2_FOX.CEL	0.78496
GSM1419149_BC3_FOX.CEL	0.64472
GSM1419150_PAO_CAZ.CEL	0.49285
GSM1419151_PAO2_CAZ.CEL	0.74745
GSM1419152_PAO3_CAZ.CEL	0.4062
GSM1419153_BC_CAZ.CEL	0.94245
GSM1419154_BC2_CAZ.CEL	0.4435
GSM1419155_BC3_CAZ.CEL	0.74004
GSM1420990_PAO1_control1.CEL	0.82095
GSM1420991_PAO1_control2.CEL	0.5002
GSM1420992_PAO1_NO1.CEL	0.8493
GSM1420993_PAO1_NO2.CEL	0.52708
GSM1420994_anr_control1.CEL	0.26345
GSM1420995_anr_control2.CEL	0.6635
GSM1420996_anr_NO1.CEL	0.083092
GSM1420997_anr_NO2.CEL	0.72618
GSM1420998_dnr_control1.CEL	0.86617
GSM1420999_dnr_control2.CEL	0.080639
GSM1421000_dnr_NO1.CEL	0.96864
GSM1421001_dnr_NO2.CEL	0.95079
GSM1421002_EXdnr_control1.CEL	0.84071
GSM1421003_EXdnr_control2.CEL	0.46868
GSM1421004_EXdnr_NO1.CEL	0.62076
GSM1421005_EXdnr_NO2.CEL	0.47646
GSM1421006_fhpR_control1.CEL	0.29361
GSM1421007_fhpR_control2.CEL	0.14938
GSM1421008_fhpR_NO1.CEL	0.24162
GSM1421009_fhpR_NO2.CEL	0.73431
GSM1517347_MK-1.CEL	0.27976
GSM1517348_MK-2.CEL	0.053444
GSM1517349_MK-3.CEL	0.75392
GSM1517350_MK-4.CEL	0.67729
GSM1517351_MK-5.CEL	0.28035
GSM1517352_MK-6.CEL	0.69629
GSM155231.CEL	0.68878
GSM155239.CEL	0.4911
GSM155240.CEL	0.063184
GSM155241.CEL	0.54423
GSM155242.CEL	0.62403
GSM155243.CEL	0.67977
GSM155244.CEL	0.029105
GSM155245.CEL	0.7078
GSM1553187_Persisters_C1.CEL	0.25873
GSM1553188_Persisters_T1.CEL	0.016668
GSM1553189_Persisters_C2.CEL	0.70968
GSM1553190_Persisters_T2.CEL	0.040292
GSM1553191_Normal_C1.CEL	0.56704
GSM1553192_Normal_T1.CEL	0.62811
GSM1553193_Normal_C2.CEL	0.91688
GSM1553194_Normal_T2.CEL	0.95608
GSM156153.CEL	0.58913
GSM156154.CEL	0.9767
GSM156155.CEL	0.11553
GSM156156.CEL	0.57034
GSM156157.CEL	0.63804
GSM156158.CEL	0.52342
GSM156172.CEL	0.33221
GSM156173.CEL	0.075033
GSM156174.CEL	0.01159
GSM156175.CEL	0.04641
GSM1608059_Planktonic_1.CEL	0.8167
GSM1608060_Planktonic_2.CEL	0.66562
GSM1608061_Planktonic_3.CEL	0.31003
GSM1608062_Planktonic_4.CEL	0.68545
GSM1608067_Biofilm+12hrcipro_rep1.CEL	0.62502
GSM1608068_Biofilm+12hrcipro_rep2.CEL	0.0052327
GSM1608069_Biofilm+12hrcipro_rep3.CEL	0.87843
GSM1608070_Biofilm+12hrtobra_rep1.CEL	0.15246
GSM1608071_Biofilm+12hrtobra_rep2.CEL	0.15909
GSM1608072_Biofilm+12hrtobra_rep3.CEL	0.69419
GSM1618385_Wound1.CEL	0.78968
GSM1618386_Wound2.CEL	0.0031681
GSM1662223_PAO1_1.CEL	0.23857
GSM1662224_PAO1_2.CEL	0.59587
GSM1662225_PAO1_3.CEL	0.73758
GSM1662226_WFPA205_1.CEL	0.91416
GSM1662227_WFPA205_2.CEL	0.66743
GSM1662228_WFPA205_3.CEL	0.62972
GSM1662229_WFPA513_1.CEL	0.81889
GSM1662230_WFPA513_2.CEL	0.81066
GSM1662231_WFPA513_3.CEL	0.60811
GSM1662232_WFPA510_1.CEL	0.038433
GSM1662233_WFPA510_2.CEL	0.63098
GSM1662234_WFPA510_3.CEL	0.38248
GSM175247.CEL	0.14192
GSM175248.CEL	0.21824
GSM177216.CEL	0.066145
GSM177218.CEL	0.38527
GSM187265.CEL	0.57949
GSM187266.CEL	0.98206
GSM187267.CEL	0.18209
GSM187270.CEL	0.57845
GSM187281.CEL	0.79709
GSM187282.CEL	0.6976
GSM187283.CEL	0.45985
GSM187284.CEL	0.48705
GSM1889278_L-Hyp_01.CEL	0.49416
GSM1889279_L-Hyp_02.CEL	0.036528
GSM1889280_D-Hyp_01.CEL	0.71899
GSM1889281_D-Hyp_02.CEL	0.54252
GSM1937527_1-38_A.021511_Pae_G1a_.CEL	0.16263
GSM1937528_1-38_B.021511_Pae_G1a_.CEL	0.22541
GSM1937529_50-38_A.021511_Pae_G1a_.CEL	0.36398
GSM1937530_50-38_B.021511_Pae_G1a_.CEL	0.49019
GSM1937531_50-12_A.021511_Pae_G1a_.CEL	0.4517
GSM1937532_50-12_B.021511_Pae_G1a_.CEL	0.15009
GSM1937533_46-38_A.021511_Pae_G1a_.CEL	0.16429
GSM1937534_46-38_B.021511_Pae_G1a_.CEL	0.22745
GSM1953893_BiofilmInoculum1.CEL	0.64065
GSM1953894_BiofilmInoculum2.CEL	0.1977
GSM1958026_L-lysine_1.CEL	0.9863
GSM1958027_L-lysine_2.CEL	0.28352
GSM1958028_D-Lysine_1.CEL	0.7532
GSM1958029_D-Lysine_2.CEL	0.13626
GSM1958030_Cadaverine_1.CEL	0.85985
GSM1958031_Cadaverine_2.CEL	0.40613
GSM1958032_AMV_1.CEL	0.49609
GSM1958033_AMV_2.CEL	0.29611
GSM1958034_L-Pipecolate_1.CEL	0.66518
GSM1958035_L-Pipecolate_2.CEL	0.8744
GSM1958036_Glutaric_acid_1.CEL	0.41551
GSM1958037_Glutaric_acid_2.CEL	0.4561
GSM1961571_F0-1.CEL	0.85114
GSM1961572_F0-2.CEL	0.4871
GSM1961573_F0-3.CEL	0.81269
GSM1961574_F0-4.CEL	0.68864
GSM1961575_F1-1.CEL	0.0069895
GSM1961576_F1-2.CEL	0.043283
GSM1961577_F1-3.CEL	0.061372
GSM1961578_F1-4.CEL	0.87176
GSM197237.CEL	0.17631
GSM197238.CEL	0.087723
GSM198186.CEL	0.75989
GSM198187.CEL	0.12151
GSM198188.CEL	0.59472
GSM198189.CEL	0.92577
GSM198190.CEL	0.7106
GSM198191.CEL	0.12113
GSM199982.CEL	0.79752
GSM199983.CEL	0.75695
GSM199984.CEL	0.81892
GSM199985.CEL	0.88886
GSM199986.CEL	0.70817
GSM2026894_L-Glu.CEL	0.14652
GSM2026895_D-Arg_01.CEL	0.32592
GSM2026897_D-Arg_02.CEL	0.7594
GSM2045178_MT1.CEL	0.0035001
GSM2045179_MT2.CEL	0.53988
GSM2045180_WT1.CEL	0.85075
GSM2045181_WT2.CEL	0.71156
GSM2055817_7629_A-_20130705.CEL	0.28296
GSM2055818_7629_B-_20130705.CEL	0.18635
GSM2055819_7629_C-_20130705.CEL	0.74649
GSM2055820_7629_A+_20130705.CEL	0.6049
GSM2055821_7629_B+_20130705.CEL	0.45458
GSM2055822_7629_C+_20130705.CEL	0.59467
GSM2070478_OCio-10-PAO1-1-start-Pae_G1a-a1.CEL	0.63121
GSM2070479_OCio-11-PAO1-2-start-Pae_G1a-b1.CEL	0.12528
GSM2070480_OCio-12-PAO1-3-start-Pae_G1a-c1.CEL	0.38847
GSM2070481_OCio-01-MutS-1-start-Pae_G1a-a1.CEL	0.91541
GSM2070482_OCio-02-MutS-2-start-Pae_G1a-b1.CEL	0.15371
GSM2070483_OCio-03-MutS-3-start-Pae_G1a-c1.CEL	0.40877
GSM2070484_OCio-01-PAO1_Ad94_1-Pae_G1a-a1.CEL	0.31777
GSM2070485_OCio-02-PAO1_Ad94_2-Pae_G1a-a1.CEL	0.26289
GSM2070486_OCio-03-PAO1_Ad94_3-Pae_G1a-a1.CEL	0.25935
GSM2070487_OCio-10-PAO1_Ad94_cipro_1-Pae_G1a-a1.CEL	0.24854
GSM2070488_OCio-11-PAO1_Ad94_cipro_2-Pae_G1a-a1.CEL	0.050489
GSM2070489_OCio-12-PAO1_Ad94_cipro_3-Pae_G1a-a1.CEL	0.082908
GSM2070490_OCio-04-MutS_A_d94_1-Pae_G1a-a1.CEL	0.32508
GSM2070491_OCio-05-MutS_A_d94_2-Pae_G1a-a1.CEL	0.059039
GSM2070492_OCio-06-MutS_A_d94_3-Pae_G1a-a1.CEL	0.19189
GSM2070493_OCio-13-MutS_A_d94_cipro_1-Pae_G1a-a1.CEL	0.49762
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	0.58116
GSM2070495_OCio-15-MutS_A_d94_cipro_3-Pae_G1a-a1.CEL	0.98306
GSM2070496_OCio-01-Pao1-B-D94-1-Pae_G1a-a1.CEL	0.48032
GSM2070497_OCio-02-Pao1-B-D94-2-Pae_G1a-a1.CEL	0.076386
GSM2070498_OCio-03-Pao1-B-D94-3-Pae_G1a-a1.CEL	0.79487
GSM2070499_OCio-04-Pao1-B-Cip-D94-1-Pae_G1a-a1.CEL	0.06538
GSM2070500_OCio-05-Pao1-B-Cip-D94-2-Pae_G1a-a1.CEL	0.24706
GSM2070501_OCio-06-Pao1-B-Cip-D94-3-Pae_G1a-a1.CEL	0.20278
GSM2070502_OCio-07-MutS-B-D94-1-Pae_G1a-a1.CEL	0.76705
GSM2070503_OCio-08-MutS-B-D94-2-Pae_G1a-a1.CEL	0.14536
GSM2070504_OCio-09-MutS-B-D94-3-Pae_G1a-a1.CEL	0.27995
GSM2070505_OCio-10-MutS-B-Cip-D94-1-Pae_G1a-a1.CEL	0.84031
GSM2070506_OCio-11-MutS-B-Cip-D94-2-Pae_G1a-a1.CEL	0.58177
GSM2070507_OCio-12-MutS-B-Cip-D94-3-Pae_G1a-a1.CEL	0.80543
GSM2070508_OCio-13-PAO1-1-d94-Pae_G1a-a1.CEL	0.040599
GSM2070509_OCio-14-PAO1-2-d94-Pae_G1a-b1.CEL	0.58489
GSM2070510_OCio-15-PAO1-3-d94-Pae_G1a-c1.CEL	0.11539
GSM2070511_OCio-16-PAO1-1-d94-cipro-Pae_G1a-a1.CEL	0.98635
GSM2070512_OCio-17-PAO1-2-d94-cipro-Pae_G1a-b1.CEL	0.09454
GSM2070513_OCio-18-PAO1-3-d94-cipro-Pae_G1a-c1.CEL	0.47832
GSM2070514_OCio-04-MutS-1-d94-Pae_G1a-a1.CEL	0.91629
GSM2070515_OCio-05-MutS-2-d94-Pae_G1a-b1.CEL	0.59401
GSM2070516_OCio-06-MutS-3-d94-Pae_G1a-c1.CEL	0.27108
GSM2070517_OCio-07-MutS-1-d94-cipro-Pae_G1a-a1.CEL	0.90272
GSM2070518_OCio-08-MutS-2-d94-cipro-Pae_G1a-b1.CEL	0.98085
GSM2070519_OCio-09-MutS-3-d94-cipro-Pae_G1a-c1.CEL	0.76551
GSM208602.CEL	0.19762
GSM208603.CEL	0.038606
GSM208604.CEL	0.53257
GSM208605.CEL	0.087482
GSM208606.CEL	0.3075
GSM208607.CEL	0.91877
GSM208608.CEL	0.74272
GSM208609.CEL	0.32015
GSM208610.CEL	0.70975
GSM208611.CEL	0.50873
GSM208612.CEL	0.010877
GSM208613.CEL	0.46556
GSM208614.CEL	0.0026733
GSM208615.CEL	0.062496
GSM208616.CEL	0.10129
GSM208617.CEL	0.4229
GSM208618.CEL	0.70795
GSM208619.CEL	0.39513
GSM208620.CEL	0.41607
GSM208621.CEL	0.27305
GSM234928.CEL	0.24727
GSM234929.CEL	0.7017
GSM242671.CEL	0.82339
GSM242676.CEL	0.50055
GSM242677.CEL	0.27708
GSM243221.CEL	0.51537
GSM243222.CEL	0.45019
GSM243223.CEL	0.022875
GSM243224.CEL	0.4244
GSM244065.CEL	0.72905
GSM244066.CEL	0.65074
GSM244067.CEL	0.59715
GSM244068.CEL	0.26917
GSM244069.CEL	0.95792
GSM244070.CEL	0.98212
GSM244071.CEL	0.52789
GSM244072.CEL	0.13443
GSM251201.CEL	0.85994
GSM251202.CEL	0.11648
GSM251203.CEL	0.84428
GSM251204.CEL	0.065948
GSM251205.CEL	0.4994
GSM251206.CEL	0.64926
GSM252496.CEL	0.95307
GSM252501.CEL	0.56332
GSM252505.CEL	0.93243
GSM252506.CEL	0.39071
GSM252507.CEL	0.10227
GSM252508.CEL	0.58904
GSM252559.CEL	0.31009
GSM252560.CEL	0.52123
GSM252561.CEL	0.92304
GSM252562.CEL	0.36203
GSM254432.CEL	0.43051
GSM261915.CEL	0.69979
GSM261916.CEL	0.095568
GSM261917.CEL	0.49689
GSM261918.CEL	0.55964
GSM261919.CEL	0.4373
GSM261920.CEL	0.70871
GSM261921.CEL	0.74757
GSM261922.CEL	0.89193
GSM261923.CEL	0.76742
GSM261924.CEL	0.88676
GSM261925.CEL	0.24303
GSM261926.CEL	0.49024
GSM261927.CEL	0.57846
GSM261928.CEL	0.56606
GSM261929.CEL	0.78248
GSM261930.CEL	0.79926
GSM261931.CEL	0.75808
GSM261932.CEL	0.9716
GSM261933.CEL	0.87058
GSM261934.CEL	0.3354
GSM261935.CEL	0.44552
GSM261936.CEL	0.0017109
GSM261937.CEL	0.74401
GSM261938.CEL	0.41582
GSM267248.CEL	0.59568
GSM267249.CEL	0.30445
GSM267250.CEL	0.62387
GSM267251.CEL	0.2994
GSM267252.CEL	0.12733
GSM267253.CEL	0.32135
GSM267254.CEL	0.59463
GSM267255.CEL	0.28591
GSM267256.CEL	0.15474
GSM267257.CEL	0.5659
GSM267258.CEL	0.86283
GSM267259.CEL	0.43328
GSM290747.CEL	0.49058
GSM290748.CEL	0.31352
GSM290749.CEL	0.88358
GSM290750.CEL	0.97032
GSM290751.CEL	0.44831
GSM290752.CEL	0.26678
GSM307112.CEL	0.9689
GSM307113.CEL	0.5735
GSM307114.CEL	0.77919
GSM307115.CEL	0.71194
GSM307116.CEL	0.49224
GSM307117.CEL	0.85987
GSM307118.CEL	0.97509
GSM307119.CEL	0.22311
GSM307120.CEL	0.26554
GSM307121.CEL	0.71292
GSM307122.CEL	0.11638
GSM307123.CEL	0.52471
GSM307124.CEL	0.51635
GSM307125.CEL	0.54072
GSM307126.CEL	0.87743
GSM307134.CEL	0.051256
GSM307135.CEL	0.06679
GSM318716.CEL	0.49442
GSM334310.CEL	0.64401
GSM334311.CEL	0.35559
GSM334312.CEL	0.041906
GSM334313.CEL	0.49586
GSM334314.CEL	0.5576
GSM334315.CEL	0.77802
GSM335182.CEL	0.012441
GSM335183.CEL	0.080308
GSM349042.CEL	0.99238
GSM349045.CEL	0.7072
GSM349047.CEL	0.70281
GSM349048.CEL	0.49573
GSM356953.CEL	0.94684
GSM356954.CEL	0.9594
GSM356955.CEL	0.50968
GSM356956.CEL	0.7849
GSM356957.CEL	0.82575
GSM356958.CEL	0.98447
GSM356959.CEL	0.79161
GSM356960.CEL	0.26336
GSM356961.CEL	0.18761
GSM366976.CEL	0.57786
GSM366977.CEL	0.67296
GSM375702.CEL	0.97907
GSM375703.CEL	0.0068002
GSM393044.CEL	0.23705
GSM393045.CEL	0.3017
GSM424829.CEL	0.91401
GSM424830.CEL	0.87706
GSM424831.CEL	0.91011
GSM424832.CEL	0.55497
GSM424833.CEL	0.31486
GSM424834.CEL	0.798
GSM424835.CEL	0.90149
GSM424836.CEL	0.80052
GSM429472.CEL	0.27264
GSM429475.CEL	0.78134
GSM429476.CEL	0.38533
GSM429477.CEL	0.33887
GSM429478.CEL	0.89507
GSM429479.CEL	0.049212
GSM429480.CEL	0.023157
GSM429481.CEL	0.80419
GSM432860.CEL	0.45897
GSM432861.CEL	0.31576
GSM432862.CEL	0.93586
GSM432863.CEL	0.99655
GSM432864.CEL	0.91888
GSM432865.CEL	0.87801
GSM432866.CEL	0.94419
GSM432867.CEL	0.23728
GSM432868.CEL	0.54169
GSM432869.CEL	0.47858
GSM432870.CEL	0.85635
GSM432871.CEL	0.39883
GSM45588.CEL	0.74222
GSM45589.CEL	0.90947
GSM45590.CEL	0.17202
GSM45591.CEL	0.65624
GSM462061.CEL	0.99602
GSM462062.CEL	0.98164
GSM462063.CEL	0.41845
GSM462064.CEL	0.51108
GSM462352.CEL	0.67555
GSM462353.CEL	0.23483
GSM462354.CEL	0.10247
GSM462355.CEL	0.81629
GSM537320.CEL	0.88673
GSM537321.CEL	0.69785
GSM541640.CEL	0.83521
GSM541641.CEL	0.91598
GSM541642.CEL	0.4035
GSM541643.CEL	0.34
GSM541644.CEL	0.69577
GSM541645.CEL	0.63276
GSM541646.CEL	0.39082
GSM541647.CEL	0.78031
GSM541648.CEL	0.136
GSM541649.CEL	0.76933
GSM546244.CEL	0.20979
GSM546245.CEL	0.30847
GSM546246.CEL	0.6888
GSM546247.CEL	0.36756
GSM546248.CEL	0.82971
GSM546249.CEL	0.18859
GSM546250.CEL	0.95594
GSM546251.CEL	0.44406
GSM546252.CEL	0.97447
GSM546253.CEL	0.015577
GSM546254.CEL	0.066965
GSM546255.CEL	0.073055
GSM546256.CEL	0.91824
GSM546257.CEL	0.89476
GSM546258.CEL	0.86353
GSM546259.CEL	0.10363
GSM546260.CEL	0.057481
GSM546261.CEL	0.45437
GSM546262.CEL	0.3796
GSM546263.CEL	0.50139
