cel_file	medium
Overhage13003_(Pae_G1a).CEL	BM2
Overhage13004_(Pae_G1a).CEL	BM2
GSM822689_wtBSM_A.CEL	BSM + 40 mM succinate
GSM822690_wtBSM_B.CEL	BSM + 40 mM succinate
GSM822691_delta_crcBSM_A.CEL	BSM + 40 mM succinate
GSM822692_delta_crcBSM_B.CEL	BSM + 40 mM succinate
GSM822693_delta_cbrBBSM_A.CEL	BSM + 40 mM succinate
GSM822694_delta_cbrBBSM_B.CEL	BSM + 40 mM succinate
GSM822695_delta_crcZBSM_A.CEL	BSM + 40 mM succinate
GSM822696_delta_crcZBSM_B.CEL	BSM + 40 mM succinate
GSM822689_wtBSM_A.CEL	BSM + 40 mM succinate
GSM822690_wtBSM_B.CEL	BSM + 40 mM succinate
GSM822691_delta_crcBSM_A.CEL	BSM + 40 mM succinate
GSM822692_delta_crcBSM_B.CEL	BSM + 40 mM succinate
GSM822693_delta_cbrBBSM_A.CEL	BSM + 40 mM succinate
GSM822694_delta_cbrBBSM_B.CEL	BSM + 40 mM succinate
GSM822695_delta_crcZBSM_A.CEL	BSM + 40 mM succinate
GSM822696_delta_crcZBSM_B.CEL	BSM + 40 mM succinate
GSM567668.CEL	Burn wound
GSM567669.CEL	Burn wound
GSM567678.CEL	Burn wound
GSM567679.CEL	Burn wound
GSM567688.CEL	Burn wound
GSM567689.CEL	Burn wound
GSM637583.CEL	Burn wound
GSM637584.CEL	Burn wound
GSM637585.CEL	Burn wound
GSM637586.CEL	Burn wound
GSM637587.CEL	Burn wound
GSM637588.CEL	Burn wound
GSM637589.CEL	CF sputum
GSM637590.CEL	CF sputum
GSM637591.CEL	CF sputum
GSM637592.CEL	CF sputum
GSM187283.CEL	CF sputum
GSM187284.CEL	CF sputum
GSM842839_Wright_1_WT-log-1_Pae_G1a.CEL	Iron poor CAA
GSM842840_Wright_2_WT-log-2_Pae_G1a.CEL	Iron poor CAA
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	Iron poor CAA
GSM842842_Wright_4_WT-stat-1_Pae_G1a.CEL	Iron poor CAA
GSM842843_Wright_5_WT-stat-2_Pae_G1a.CEL	Iron poor CAA
GSM842844_Wright_6_WT-stat-3_Pae_G1a.CEL	Iron poor CAA
GSM842845_Wright_7_4203-log-1_Pae_G1a.CEL	Iron poor CAA
GSM842846_Wright_8_4203-log-2_Pae_G1a.CEL	Iron poor CAA
GSM842847_Wright_9_4203-log-3_Pae_G1a.CEL	Iron poor CAA
GSM842848_Wright_10_4203-stat-1_Pae_G1a.CEL	Iron poor CAA
GSM842849_Wright_11_4203-stat-2_Pae_G1a.CEL	Iron poor CAA
GSM842850_Wright_12_4203-stat-3_Pae_G1a.CEL	Iron poor CAA
GSM838209_OXYR-PM-1_Pae_G1a.CEL	King's A 
GSM838210_OXYR-PM-3_Pae_G1a.CEL	King's A 
GSM838211_OXYR-PM-4_Pae_G1a.CEL	King's A 
GSM838215_PAO1-PM-1_Pae_G1a.CEL	King's A 
GSM838216_PAO1-PM-3_Pae_G1a.CEL	King's A 
GSM838217_PAO1-PM-4_Pae_G1a.CEL	King's A 
GSM177216.CEL	LB
GSM177218.CEL	LB
GSM254432.CEL	LB
GSM307134.CEL	LB
GSM307135.CEL	LB
GSM261915.CEL	LB
GSM261916.CEL	LB
GSM261917.CEL	LB
GSM261918.CEL	LB
GSM261919.CEL	LB
GSM261920.CEL	LB
GSM261921.CEL	LB
GSM261922.CEL	LB
GSM261923.CEL	LB
GSM261924.CEL	LB
GSM261925.CEL	LB
GSM261926.CEL	LB
GSM261927.CEL	LB
GSM261928.CEL	LB
GSM261929.CEL	LB
GSM261930.CEL	LB
GSM261931.CEL	LB
GSM261932.CEL	LB
GSM261933.CEL	LB
GSM261934.CEL	LB
GSM261935.CEL	LB
GSM261936.CEL	LB
GSM261937.CEL	LB
GSM261938.CEL	LB
GSM267248.CEL	LB
GSM267249.CEL	LB
GSM267250.CEL	LB
GSM267251.CEL	LB
GSM267252.CEL	LB
GSM267253.CEL	LB
GSM267254.CEL	LB
GSM267255.CEL	LB
GSM267256.CEL	LB
GSM267257.CEL	LB
GSM267258.CEL	LB
GSM267259.CEL	LB
GSM349042.CEL	LB
GSM349045.CEL	LB
GSM349047.CEL	LB
GSM349048.CEL	LB
GSM375702.CEL	LB
GSM375703.CEL	LB
GSM356953.CEL	LB
GSM356954.CEL	LB
GSM356955.CEL	LB
GSM356956.CEL	LB
GSM356957.CEL	LB
GSM356958.CEL	LB
GSM356959.CEL	LB
GSM356960.CEL	LB
GSM356961.CEL	LB
GSM244065.CEL	LB
GSM244066.CEL	LB
GSM393044.CEL	LB
GSM393045.CEL	LB
GSM424829.CEL	LB
GSM424830.CEL	LB
GSM424831.CEL	LB
GSM424834.CEL	LB
GSM424835.CEL	LB
GSM424836.CEL	LB
GSM424832.CEL	LB
GSM424833.CEL	LB
GSM432860.CEL	LB
GSM432861.CEL	LB
GSM432862.CEL	LB
GSM432863.CEL	LB
GSM432864.CEL	LB
GSM432865.CEL	LB
GSM432866.CEL	LB
GSM432867.CEL	LB
GSM432868.CEL	LB
GSM432869.CEL	LB
GSM432870.CEL	LB
GSM432871.CEL	LB
GSM462063.CEL	LB
GSM462064.CEL	LB
GSM537320.CEL	LB
GSM537321.CEL	LB
GSM541640.CEL	LB
GSM541641.CEL	LB
GSM541644.CEL	LB
GSM541645.CEL	LB
GSM541648.CEL	LB
GSM541649.CEL	LB
GSM424832.CEL	LB
GSM424833.CEL	LB
GSM560754.CEL	LB
GSM560755.CEL	LB
GSM560756.CEL	LB
GSM560757.CEL	LB
GSM560758.CEL	LB
GSM560759.CEL	LB
GSM567541.CEL	LB
GSM567542.CEL	LB
GSM567543.CEL	LB
GSM567544.CEL	LB
GSM567666.CEL	LB
GSM567667.CEL	LB
GSM567676.CEL	LB
GSM567677.CEL	LB
GSM567686.CEL	LB
GSM567687.CEL	LB
GSM591496.CEL	LB
GSM591601.CEL	LB
GSM591602.CEL	LB
GSM591603.CEL	LB
GSM591622.CEL	LB
GSM591623.CEL	LB
GSM591624.CEL	LB
GSM591625.CEL	LB
GSM591627.CEL	LB
GSM597216.CEL	LB
GSM597217.CEL	LB
GSM597218.CEL	LB
GSM597219.CEL	LB
GSM597220.CEL	LB
GSM597221.CEL	LB
GSM597329.CEL	LB
GSM597330.CEL	LB
GSM597331.CEL	LB
GSM591496.CEL	LB
GSM591601.CEL	LB
GSM591602.CEL	LB
GSM591624.CEL	LB
GSM591625.CEL	LB
GSM591627.CEL	LB
GSM432866.CEL	LB
GSM432867.CEL	LB
GSM610406.CEL	LB
GSM610407.CEL	LB
GSM617286.CEL	LB
GSM617287.CEL	LB
GSM617288.CEL	LB
GSM617289.CEL	LB
GSM617290.CEL	LB
GSM617291.CEL	LB
GSM617292.CEL	LB
GSM617293.CEL	LB
GSM617294.CEL	LB
GSM617295.CEL	LB
GSM617296.CEL	LB
GSM617297.CEL	LB
GSM617298.CEL	LB
GSM617299.CEL	LB
GSM617300.CEL	LB
GSM617301.CEL	LB
GSM617286.CEL	LB
GSM617287.CEL	LB
GSM617288.CEL	LB
GSM617289.CEL	LB
GSM617290.CEL	LB
GSM617291.CEL	LB
GSM617292.CEL	LB
GSM617293.CEL	LB
GSM617294.CEL	LB
GSM617295.CEL	LB
GSM617296.CEL	LB
GSM617297.CEL	LB
GSM617298.CEL	LB
GSM617299.CEL	LB
GSM617300.CEL	LB
GSM617301.CEL	LB
GSM629176.CEL	LB
GSM629177.CEL	LB
GSM629178.CEL	LB
GSM629179.CEL	LB
GSM637573.CEL	LB
GSM637574.CEL	LB
GSM637575.CEL	LB
GSM637576.CEL	LB
GSM637577.CEL	LB
GSM637578.CEL	LB
GSM637579.CEL	LB
GSM637580.CEL	LB
GSM637581.CEL	LB
GSM637582.CEL	LB
GSM663157_02_mix_2w1_e_coli_5-10-07_S2.CEL	LB
GSM663158_E_coli_mix2_5-22-07_S2.CEL	LB
GSM663159_01_e_coli_5-10-07_S2.CEL	LB
GSM663160_E_coli_5-22-07_S2.CEL	LB
GSM663161_03_mix_1wP_Pae_5-10-07_S2.CEL	LB
GSM663162_Pae-Mix-1_5-22-07_S2.CEL	LB
GSM663163_04_Pae_5-10-07_S2.CEL	LB
GSM663164_Pae_5-22-07_S2.CEL	LB
GSM698080.CEL	LB
GSM698081.CEL	LB
GSM735748_PA14_WT.CEL	LB
GSM735749_PA14_WT_adenosine.CEL	LB
GSM740019.CEL	LB
GSM740020.CEL	LB
GSM743001_PAO1-PC4-a.CEL	LB
GSM743002_PAO1-PC4-b.CEL	LB
GSM743003_PAO1-PC4-c.CEL	LB
GSM743004_PAO1-PC24-a.CEL	LB
GSM743005_PAO1-PC24-b.CEL	LB
GSM743006_PAO1-PC24-c.CEL	LB
GSM743007_PAO1-SC24-a.CEL	LB
GSM743008_PAO1-SC24-b.CEL	LB
GSM743009_PAO1-SC24-c.CEL	LB
GSM774085_CF30-1979a.CEL	LB
GSM774086_CF30-1979b.CEL	LB
GSM774087_CF30-1979c.CEL	LB
GSM774088_CF43-1973a.CEL	LB
GSM774089_CF43-1973b.CEL	LB
GSM774090_CF43-1973c.CEL	LB
GSM774091_CF66-1973a.CEL	LB
GSM774092_CF66-1973b.CEL	LB
GSM774093_CF66-1973c.CEL	LB
GSM774094_CF66-1992a.CEL	LB
GSM774095_CF66-1992b.CEL	LB
GSM774096_CF66-1992c.CEL	LB
GSM774097_CF66-2008a.CEL	LB
GSM774098_CF66-2008b.CEL	LB
GSM774099_CF66-2008c.CEL	LB
GSM774100_CF105-1973a.CEL	LB
GSM774101_CF105-1973b.CEL	LB
GSM774102_CF105-1973c.CEL	LB
GSM774103_CF114-1973a.CEL	LB
GSM774104_CF114-1973b.CEL	LB
GSM774105_CF114-1973c.CEL	LB
GSM774106_CF173-1984a.CEL	LB
GSM774107_CF173-1984b.CEL	LB
GSM774108_CF173-1984c.CEL	LB
GSM774109_CF173-2002a.CEL	LB
GSM774110_CF173-2002b.CEL	LB
GSM774111_CF173-2002c.CEL	LB
GSM774112_CF173-2005a.CEL	LB
GSM774113_CF173-2005b.CEL	LB
GSM774114_CF173-2005c.CEL	LB
GSM774115_CF243-2002a.CEL	LB
GSM774116_CF243-2002b.CEL	LB
GSM774117_CF243-2002c.CEL	LB
GSM774118_CF333-1991a.CEL	LB
GSM774119_CF333-1991b.CEL	LB
GSM774120_CF333-1991c.CEL	LB
GSM774121_CF333-1997a.CEL	LB
GSM774122_CF333-1997b.CEL	LB
GSM774123_CF333-1997c.CEL	LB
GSM774124_CF333-2003a.CEL	LB
GSM774125_CF333-2003b.CEL	LB
GSM774126_CF333-2003c.CEL	LB
GSM774127_CF333-2005a.CEL	LB
GSM774128_CF333-2005b.CEL	LB
GSM774129_CF333-2005c.CEL	LB
GSM774130_CF333-2007a.CEL	LB
GSM774131_CF333-2007b.CEL	LB
GSM774132_CF333-2007c.CEL	LB
GSM774133_B6-0_1.CEL	LB
GSM774134_B6-0_2.CEL	LB
GSM774135_B6-0_3.CEL	LB
GSM774136_B6-4_1.CEL	LB
GSM774137_B6-4_2.CEL	LB
GSM774138_B6-4_3.CEL	LB
GSM774139_B12-0_1.CEL	LB
GSM774140_B12-0_2.CEL	LB
GSM774141_B12-0_3.CEL	LB
GSM774142_B12-4_1.CEL	LB
GSM774143_B12-4_2.CEL	LB
GSM774144_B12-4_3.CEL	LB
GSM774145_B12-7_1.CEL	LB
GSM774146_B12-7_2.CEL	LB
GSM774147_B12-7_3.CEL	LB
GSM774148_B38-1_1.CEL	LB
GSM774149_B38-1_2.CEL	LB
GSM774150_B38-1_3.CEL	LB
GSM774151_B38-2M_1.CEL	LB
GSM774152_B38-2M_2.CEL	LB
GSM774153_B38-2M_3.CEL	LB
GSM774154_B38-2NM_1.CEL	LB
GSM774155_B38-2NM_2.CEL	LB
GSM774156_B38-2NM_3.CEL	LB
GSM774157_B38-6M_1.CEL	LB
GSM774158_B38-6M_2.CEL	LB
GSM774159_B38-6M_3.CEL	LB
GSM774160_PAO1a.CEL	LB
GSM774161_PAO1b.CEL	LB
GSM774162_PAO1c.CEL	LB
GSM821495.CEL	LB
GSM821496.CEL	LB
GSM821497.CEL	LB
GSM821498.CEL	LB
GSM821499.CEL	LB
GSM821500.CEL	LB
GSM821501.CEL	LB
GSM821502.CEL	LB
GSM821503.CEL	LB
GSM821504.CEL	LB
GSM821505.CEL	LB
GSM821506.CEL	LB
GSM822708_wtLB_A.CEL	LB
GSM822709_wtLB_B.CEL	LB
GSM822710_delta_crcLB_A.CEL	LB
GSM822711_delta_crcLB_B.CEL	LB
GSM822712_delta_cbrBLB_A.CEL	LB
GSM822713_delta_cbrBLB_B.CEL	LB
GSM822714_delta_crcZLB_A.CEL	LB
GSM822715_delta_crcZLB_B.CEL	LB
GSM822708_wtLB_A.CEL	LB
GSM822709_wtLB_B.CEL	LB
GSM822710_delta_crcLB_A.CEL	LB
GSM822711_delta_crcLB_B.CEL	LB
GSM822712_delta_cbrBLB_A.CEL	LB
GSM822713_delta_cbrBLB_B.CEL	LB
GSM822714_delta_crcZLB_A.CEL	LB
GSM822715_delta_crcZLB_B.CEL	LB
GSM838206_OXYR-LB-1_Pae_G1a.CEL	LB
GSM838207_OXYR-LB-2_Pae_G1a.CEL	LB
GSM838208_OXYR-LB-4_Pae_G1a.CEL	LB
GSM838212_PAO1-LB-1_Pae_G1a.CEL	LB
GSM838213_PAO1-LB-2_Pae_G1a.CEL	LB
GSM838214_PAO1-LB-3_Pae_G1a.CEL	LB
GSM838218_PAO1-5344-1_Pae_G1a.CEL	LB
GSM838219_PAO1-5344-3_Pae_G1a.CEL	LB
GSM838220_PAO1-5344-4_Pae_G1a.CEL	LB
GSM871963.CEL	LB
GSM871964.CEL	LB
GSM871965.CEL	LB
GSM871966.CEL	LB
GSM871967.CEL	LB
GSM871968.CEL	LB
GSM871969.CEL	LB
GSM871970.CEL	LB
GSM871971.CEL	LB
GSM871972.CEL	LB
GSM871973.CEL	LB
GSM871974.CEL	LB
GSM871975.CEL	LB
GSM871976.CEL	LB
GSM871977.CEL	LB
GSM871978.CEL	LB
GSM897995_MHH0094_Pae_G1a.CEL	LB
GSM897996_MHH0095_Pae_G1a.CEL	LB
GSM897997_MHH0106_Pae_G1a.CEL	LB
GSM897998_MHH0107_Pae_G1a.CEL	LB
GSM897999_MHH0110_Pae_G1a.CEL	LB
GSM898000_MHH0111_Pae_G1a.CEL	LB
GSM898001_MHH0122_Pae_G1a.CEL	LB
GSM898002_MHH0123_Pae_G1a.CEL	LB
GSM900177_F1_Pae_G1a_.CEL	LB
GSM900178_C1_Pae_G1a_.CEL	LB
GSM900179_F2_Pae_G1a_.CEL	LB
GSM900180_C2_Pae_G1a_.CEL	LB
GSM900181_F3_Pae_G1a_.CEL	LB
GSM900182_C3_Pae_G1a_.CEL	LB
GSM980539_MHH1372.CEL	LB
GSM980540_MHH1373.CEL	LB
GSM980541_MHH1376.CEL	LB
GSM980542_MHH1377.CEL	LB
GSM994496_PAO1-replicate-01.CEL	LB
GSM994497_PAO1-replicate-02.CEL	LB
GSM994498_PAO1-replicate-03.CEL	LB
GSM994499_HM4-replicate-01.CEL	LB
GSM994500_HM4-replicate-02.CEL	LB
GSM994501_HM4-replicate-03.CEL	LB
GSM1141729_PA01_none_PC_.CEL	LB
GSM1141730_PA01_ZnO_PZO_.CEL	LB
GSM1143375_A1_Pae_G1a_.CEL	LB
GSM1143376_A2_Pae_G1a_.CEL	LB
GSM1143377_A3_Pae_G1a_.CEL	LB
GSM1143378_B1_Pae_G1a_.CEL	LB
GSM1143379_B2_Pae_G1a_.CEL	LB
GSM1143380_B3_Pae_G1a_.CEL	LB
GSM1143381_WT1_Pae_G1a_.CEL	LB
GSM1143382_WT2_Pae_G1a_.CEL	LB
GSM1143383_WT3_Pae_G1a_.CEL	LB
GSM1246481_PA14bvlR_pME6032_rep1.CEL	LB
GSM1246482_PA14bvlR_pME6032_rep2.CEL	LB
GSM1246483_PA14bvlR_pME6032_rep3.CEL	LB
GSM1246484_PA14bvlR_pMEbvlR_rep1.CEL	LB
GSM1246485_PA14bvlR_pMEbvlR_rep2.CEL	LB
GSM1246486_PA14bvlR_pMEbvlR_rep3.CEL	LB
GSM1310895_PA14_wild-type.CEL	LB
GSM1310896_PA14_lasR_rhlR.CEL	LB
GSM1310897_PA14_wild-type_+H2O2.CEL	LB
GSM1310898_PA14_lasR_rhlR_+H2O2.CEL	LB
GSM1419138_PAO.CEL	LB
GSM1419139_PAO2.CEL	LB
GSM1419140_PAO3.CEL	LB
GSM1419141_BC.CEL	LB
GSM1419142_BC2.CEL	LB
GSM1419143_BC3.CEL	LB
GSM1419144_PAO_FOX.CEL	LB
GSM1419145_PAO2_FOX.CEL	LB
GSM1419146_PAO3_FOX.CEL	LB
GSM1419147_BC_FOX.CEL	LB
GSM1419148_BC2_FOX.CEL	LB
GSM1419149_BC3_FOX.CEL	LB
GSM1419150_PAO_CAZ.CEL	LB
GSM1419151_PAO2_CAZ.CEL	LB
GSM1419152_PAO3_CAZ.CEL	LB
GSM1419153_BC_CAZ.CEL	LB
GSM1419154_BC2_CAZ.CEL	LB
GSM1419155_BC3_CAZ.CEL	LB
GSM1420990_PAO1_control1.CEL	LB
GSM1420991_PAO1_control2.CEL	LB
GSM1420992_PAO1_NO1.CEL	LB
GSM1420993_PAO1_NO2.CEL	LB
GSM1420994_anr_control1.CEL	LB
GSM1420995_anr_control2.CEL	LB
GSM1420996_anr_NO1.CEL	LB
GSM1420997_anr_NO2.CEL	LB
GSM1420998_dnr_control1.CEL	LB
GSM1420999_dnr_control2.CEL	LB
GSM1421000_dnr_NO1.CEL	LB
GSM1421001_dnr_NO2.CEL	LB
GSM1421002_EXdnr_control1.CEL	LB
GSM1421003_EXdnr_control2.CEL	LB
GSM1421004_EXdnr_NO1.CEL	LB
GSM1421005_EXdnr_NO2.CEL	LB
GSM1421006_fhpR_control1.CEL	LB
GSM1421007_fhpR_control2.CEL	LB
GSM1421008_fhpR_NO1.CEL	LB
GSM1421009_fhpR_NO2.CEL	LB
GSM197237.CEL	LB
GSM197238.CEL	LB
GSM199982.CEL	LB
GSM199983.CEL	LB
GSM199984.CEL	LB
GSM199985.CEL	LB
GSM199986.CEL	LB
GSM234928.CEL	LB
GSM234929.CEL	LB
GSM242671.CEL	LB
GSM242676.CEL	LB
GSM242677.CEL	LB
GSM318716.CEL	LB
GSM243221.CEL	LB
GSM243222.CEL	LB
GSM243223.CEL	LB
GSM243224.CEL	LB
GSM244065.CEL	LB
GSM244066.CEL	LB
GSM244067.CEL	LB
GSM244068.CEL	LB
GSM244069.CEL	LB
GSM244070.CEL	LB
GSM244071.CEL	LB
GSM244072.CEL	LB
TUBS0088.CEL	LB
TUBS0089.CEL	LB
TUBS0090.CEL	LB
TUBS0091.CEL	LB
TUBS0092.CEL	LB
TUBS0093.CEL	LB
TUBS0094.CEL	LB
TUBS0095.CEL	LB
TUBS0096.CEL	LB
Van_Delden_Kohler_0311_BAL6_1.CEL	LB
Van_Delden_Kohler_0311_BAL6_2.CEL	LB
Van_Delden_Kohler_0311_BAL6_3.CEL	LB
Van_Delden_Kohler_0311_BAL6+_1.CEL	LB
Van_Delden_Kohler_0311_BAL6+_2.CEL	LB
Van_Delden_Kohler_0311_BAL6+_3.CEL	LB
Van_Delden_Kohler_0311_PT5_1.CEL	LB
Van_Delden_Kohler_0311_PT5_2.CEL	LB
Van_Delden_Kohler_0311_PT5_3.CEL	LB
GSM1244967_PAO1-22-replicate-01.CEL	LB 
GSM1244968_PAO1-22-replicate-02.CEL	LB 
GSM1244969_PAO1-22-replicate-03.CEL	LB 
GSM1244970_PAO1-37-replicate-01.CEL	LB 
GSM1244971_PAO1-37-replicate-02.CEL	LB 
GSM1244972_PAO1-37-replicate-03.CEL	LB 
GSM92164.CEL	LB + 50 mM MOPS
GSM92165.CEL	LB + 50 mM MOPS
GSM92166.CEL	LB + 50 mM MOPS
GSM92167.CEL	LB + 50 mM MOPS
GSM92168.CEL	LB + 50 mM MOPS
GSM92169.CEL	LB + 50 mM MOPS
GSM92170.CEL	LB + 50 mM MOPS
GSM92171.CEL	LB + 50 mM MOPS
GSM92172.CEL	LB + 50 mM MOPS
GSM92173.CEL	LB + 50 mM MOPS
GSM92174.CEL	LB + 50 mM MOPS
GSM92175.CEL	LB + 50 mM MOPS
GSM92176.CEL	LB + 50 mM MOPS
GSM92177.CEL	LB + 50 mM MOPS
GSM92178.CEL	LB + 50 mM MOPS
GSM92179.CEL	LB + 50 mM MOPS
GSM92180.CEL	LB + 50 mM MOPS
GSM92181.CEL	LB + 50 mM MOPS
GSM92182.CEL	LB + 50 mM MOPS
GSM92183.CEL	LB + 50 mM MOPS
GSM92184.CEL	LB + 50 mM MOPS
GSM92185.CEL	LB + 50 mM MOPS
GSM92186.CEL	LB + 50 mM MOPS
GSM92188.CEL	LB + 50 mM MOPS
GSM92189.CEL	LB + 50 mM MOPS
GSM92190.CEL	LB + 50 mM MOPS
GSM92191.CEL	LB + 50 mM MOPS
GSM92192.CEL	LB + 50 mM MOPS
GSM92193.CEL	LB + 50 mM MOPS
MSC_01.CEL	LB + 50 mM MOPS
MSC_02.CEL	LB + 50 mM MOPS
MSC_03.CEL	LB + 50 mM MOPS
MSC_04.CEL	LB + 50 mM MOPS
MSC_05.CEL	LB + 50 mM MOPS
MSC_06.CEL	LB + 50 mM MOPS
MSC_07.CEL	LB + 50 mM MOPS
MSC_08.CEL	LB + 50 mM MOPS
MSC_09.CEL	LB + 50 mM MOPS
MSC_10.CEL	LB + 50 mM MOPS
GSM1067456_PAO1_CK_1.CEL	LB + 7.5 mM nitriloacetic acid
GSM1067457_PAO1_PAA_1.CEL	LB + 7.5 mM nitriloacetic acid
GSM1067458_PAO1_CK_2.CEL	LB + 7.5 mM nitriloacetic acid
GSM1067459_PAO1_PAA_2.CEL	LB + 7.5 mM nitriloacetic acid
Glu_6Hour_(Pae_G1a).CEL	LB+ 0.25% glucose
GSM856031_PA01.CEL	LB+1% KNO3
GSM856032_PA01+V12.CEL	LB+1% KNO3
GSM641845.CEL	M63  + 0.5% casamino acids + 0.3% glucose
GSM641846.CEL	M63  + 0.5% casamino acids + 0.3% glucose
GSM641847.CEL	M63  + 0.5% casamino acids + 0.3% glucose
GSM641848.CEL	M63  + 0.5% casamino acids + 0.3% glucose
GSM641849.CEL	M63  + 0.5% casamino acids + 0.3% glucose
GSM794226_A27.CEL	M63 + 0.4% arginine
GSM794227_A28.CEL	M63 + 0.4% arginine
GSM794228_A29.CEL	M63 + 0.4% arginine
GSM794229_A30.CEL	M63 + 0.4% arginine
GSM794230_A31.CEL	M63 + 0.4% arginine
GSM794231_A32.CEL	M63 + 0.4% arginine
120330-10978D_22_(Pae_G1a).CEL	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_23_(Pae_G1a).CEL	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_24_(Pae_G1a).CEL	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M1_(Pae_G1a).CEL	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M3_(Pae_G1a).CEL	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M4_(Pae_G1a).CEL	M8-glutamate minimal medium + 0.2% glucose
GSM1237734_M9_H103_2_51059600653056031211409890238138.CEL	M9 + 0.2% glucose
GSM1237735_M9_H103_3_51059600653061050411410396750551.CEL	M9 + 0.2% glucose
GSM1237736_M9_H103_4_51059600653061050411410396750502.CEL	M9 + 0.2% glucose
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	M9 + 0.2% glucose
GSM1237738_M9_PAOSX_3_51059600653060050411410396750359.CEL	M9 + 0.2% glucose
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	M9 + 0.2% glucose
Overhage3002_(Pae_G1a).CEL	M9 + 0.4% glucose
Overhage3004_(Pae_G1a).CEL	M9 + 0.4% glucose
Overhage3005_(Pae_G1a).CEL	M9 + 0.4% glucose
Overhage3006_(Pae_G1a).CEL	M9 + 0.4% glucose
20mM_KT2440.CEL	M9 + 2 mM glucose
2mM_KT2440.CEL	M9 + 2 mM glucose
2mM_CF600.CEL	M9 + 2 mM glucose + 2 mM ammonium chloride
20mM_CF600.CEL	M9 + 2 mM glucose + 20 mM ammonium chloride
GSM573322.CEL	M9 + 2% glucose
GSM573323.CEL	M9 + 2% glucose
GSM573324.CEL	M9 + 2% glucose
GSM573325.CEL	M9 + 2% glucose
GSM573326.CEL	M9 + 2% glucose
GSM573327.CEL	M9 + 2% glucose
MBU_JGOLD_pakA1.CEL	M9 + 2% glucose
MBU_JGOLD_pakA2.CEL	M9 + 2% glucose
MBU_JGOLD_PAO11.CEL	M9 + 2% glucose
MBU_JGOLD_PAO12.CEL	M9 + 2% glucose
MBU_PAER_pak1.CEL	M9 + 2% glucose
